train_loss,val_loss,val_acc
0.9029428362846375,1.0052696466445923,0.7090672850608826
1.1443463563919067,0.6726047396659851,0.6954782009124756
0.8355368971824646,0.4333111047744751,0.8082268238067627
0.7392385005950928,0.5240195989608765,0.7943181991577148
0.6447956562042236,0.3077983558177948,0.8880563378334045
0.6517514586448669,0.33888280391693115,0.8694601655006409
0.5865174531936646,0.32660648226737976,0.8406723141670227
0.5101487636566162,0.22716747224330902,0.9116950631141663
0.45998716354370117,0.2258148193359375,0.9107954502105713
0.41832655668258667,0.21761201322078705,0.9193300008773804
